%  Transport estimate of the Florida Current  
%  using voltage data of the submarine cable  
%  from West Palm Beach, FL to Eight Mile Rock, 
%  Grand Bahama Island 
% 
% 
%  For further information please contact
%  Dr. Denis Volkov
%  Denis.Volkov@noaa.gov
%  (305) 361-4344 
% 
% 
%  Flag: 0 - Good data
%        1 - Estimated without filter
%        2 - No data
% 
% 
%  Table updated: 26-Sep-2022
% 
%
%  Year  Month  Day   Transport   Flag
%                       [Sv] 
   2022     5   20      27.2       0 
   2022     5   21      26.8       0 
   2022     5   22      26.4       0 
   2022     5   23      26.9       0 
   2022     5   24      28.3       0 
   2022     5   25      29.2       0 
   2022     5   26      29.7       0 
   2022     5   27      30.7       0 
   2022     5   28      31.4       0 
   2022     5   29      32.4       0 
   2022     5   30      33.0       0 
   2022     5   31      32.8       0 
   2022     6    1      32.1       0 
   2022     6    2      32.0       0 
   2022     6    3      32.7       0 
   2022     6    4      33.1       0 
   2022     6    5      32.5       0 
   2022     6    6      32.5       0 
   2022     6    7      32.2       0 
   2022     6    8      31.8       0 
   2022     6    9      33.2       0 
   2022     6   10      34.8       0 
   2022     6   11      35.9       0 
   2022     6   12      36.4       0 
   2022     6   13      36.0       0 
   2022     6   14      36.4       0 
   2022     6   15      37.9       0 
   2022     6   16      37.5       0 
   2022     6   17      36.5       0 
   2022     6   18      36.2       0 
   2022     6   19      35.2       0 
   2022     6   20      33.8       0 
   2022     6   21      32.6       0 
   2022     6   22      32.0       0 
   2022     6   23      32.0       0 
   2022     6   24      33.3       0 
   2022     6   25      33.6       0 
   2022     6   26      32.7       0 
   2022     6   27      32.2       0 
   2022     6   28      31.4       0 
   2022     6   29      30.8       0 
   2022     6   30      31.0       0 
   2022     7    1      32.4       0 
   2022     7    2      33.6       0 
   2022     7    3      33.9       0 
   2022     7    4      35.1       0 
   2022     7    5      34.7       0 
   2022     7    6      34.9       0 
   2022     7    7      36.0       0 
   2022     7    8      35.8       0 
   2022     7    9      36.2       0 
   2022     7   10      36.8       0 
   2022     7   11      36.7       0 
   2022     7   12      36.0       0 
   2022     7   13      35.7       0 
   2022     7   14      36.5       0 
   2022     7   15      37.1       0 
   2022     7   16      37.1       0 
   2022     7   17      37.1       0 
   2022     7   18      37.4       0 
   2022     7   19      37.7       0 
   2022     7   20      36.9       0 
   2022     7   21      38.1       0 
   2022     7   22      38.8       0 
   2022     7   23      38.0       0 
   2022     7   24      36.8       0 
   2022     7   25      36.7       0 
   2022     7   26      36.7       0 
   2022     7   27      36.4       0 
   2022     7   28      36.9       0 
   2022     7   29      37.5       0 
   2022     7   30      37.1       0 
   2022     7   31      36.1       0 
   2022     8    1      35.1       0 
   2022     8    2      34.9       0 
   2022     8    3      35.2       0 
   2022     8    4      35.7       0 
   2022     8    5      36.0       0 
   2022     8    6      36.1       0 
   2022     8    7      37.4       0 
   2022     8    8      37.6       0 
   2022     8    9      37.2       0 
   2022     8   10      37.9       0 
   2022     8   11      39.3       0 
   2022     8   12      39.1       0 
   2022     8   13      38.4       0 
   2022     8   14      37.6       0 
   2022     8   15      37.2       0 
   2022     8   16      37.1       0 
   2022     8   17      37.4       0 
   2022     8   18      37.3       0 
   2022     8   19      37.5       0 
   2022     8   20      38.0       0 
   2022     8   21      37.8       0 
   2022     8   22      36.2       0 
   2022     8   23      34.7       0 
   2022     8   24      34.3       0 
   2022     8   25      33.8       0 
   2022     8   26      33.7       0 
   2022     8   27      34.0       0 
   2022     8   28      33.9       0 
   2022     8   29      34.8       0 
   2022     8   30      35.7       0 
   2022     8   31      36.0       0 
   2022     9    1      36.1       0 
   2022     9    2      36.1       0 
   2022     9    3      36.1       0 
   2022     9    4      35.2       0 
   2022     9    5      33.9       0 
   2022     9    6      33.0       0 
   2022     9    7      33.1       0 
   2022     9    8      33.3       0 
   2022     9    9      33.0       0 
   2022     9   10      32.8       0 
   2022     9   11      32.7       0 
   2022     9   12      33.1       0 
   2022     9   13      33.9       0 
   2022     9   14      34.3       0 
   2022     9   15      34.2       0 
   2022     9   16      33.5       0 
   2022     9   17      31.7       0 
   2022     9   18      30.0       0 
   2022     9   19      29.7       0 
   2022     9   20      29.2       0 
   2022     9   21      28.4       0 
   2022     9   22      27.3       0 
